Item.[Item],Item.[Item$DisplayName],Item.[Is New Item],Item.[Item Disc Date],Item.[Item Intro Date],Item.[Item Status],Item.[Reporting Item],Item.[Reporting Item$DisplayName],Item.[Segmentation LOB],Item.[Segmentation LOB$DisplayName],Item.[PackageType],Item.[Pack Size],Item.[FN Item],Item.[L1],Item.[L1$DisplayName],Item.[L2],Item.[L2$DisplayName],Item.[L3],Item.[L3$DisplayName],Item.[L4],Item.[L4$DisplayName],Item.[L5],Item.[L5$DisplayName],Item.[L6],Item.[L6$DisplayName],Item.[Planning Item],Item.[Planning Item Locale],Item.[Planning Item Disc Date],Item.[Planning Item Intro Date],Item.[Planning Item$DisplayName],Item.[Transition Item],Item.[Transition Item$DisplayName],Item.[Segmentation Category],Item.[A1],Item.[A1$DisplayName],Item.[A2],Item.[A3],Item.[A3$DisplayName],Item.[A4],Item.[A4$DisplayName],Item.[A5],Item.[PLC Status],Item.[RGM7],Item.[RGM6],Item.[RGM5],Item.[RGM4],Item.[RGM3],Item.[RGM2],Item.[RGM1],Item.[Item Type],Item.[Unit Size],Item.[All Item],Item.[PPG],Item.[Stat Item],Item.[Stat Item$DisplayName],Item.[Stat Item Group],Item.[Stat Item Group$DisplayName],Item.[ContainerType],Item.[Item Class],Item.[Item Stage],Item.[EAN ID],Item.[Transition Group]
ChocoDream 40% Cocoa Coconut Almond_Bar_3.5oz,ChocoDream 40% Cocoa Coconut Almond_Bar_3.5oz,TRUE,,,TRUE,ChocoDream 40% Cocoa Coconut Almond_Bar_3.5oz,ChocoDream 40% Cocoa Coconut Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,,Dummy,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,ChocoDream 40% Cocoa Coconut Almond_Bar,en-US,,,ChocoDream 40% Cocoa Coconut Almond_Bar,T-ChocoDream 40% Cocoa Coconut Almond_Bar,ChocoDream 40% Cocoa Coconut Almond_Bar,,0,0%,Almond,0.4,40%,525,525 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
ChocoDream 40% Cocoa Caramel Crunch_Bar_3.5oz,ChocoDream 40% Cocoa Caramel Crunch_Bar_3.5oz,TRUE,,,TRUE,ChocoDream 40% Cocoa Caramel Crunch_Bar_3.5oz,ChocoDream 40% Cocoa Caramel Crunch_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,,Dummy,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,ChocoDream 40% Cocoa Caramel Crunch_Bar,en-US,,,ChocoDream 40% Cocoa Caramel Crunch_Bar,T-ChocoDream 40% Cocoa Caramel Crunch_Bar,ChocoDream 40% Cocoa Caramel Crunch_Bar,,0,0%,Caramel,0.4,40%,525,525 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
ChocoDream 70% Cocoa Dark Caramel_Bar_3.5oz,ChocoDream 70% Cocoa Dark Caramel_Bar_3.5oz,TRUE,,,TRUE,ChocoDream 70% Cocoa Dark Caramel_Bar_3.5oz,ChocoDream 70% Cocoa Dark Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,,Dummy,A140,ChocoDream 70% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,ChocoDream 70% Cocoa Dark Caramel_Bar,en-US,,,ChocoDream 70% Cocoa Dark Caramel_Bar,T-ChocoDream 70% Cocoa Dark Caramel_Bar,ChocoDream 70% Cocoa Dark Caramel_Bar,,0,0%,Caramel,0.7,0.7,438,438 cal,3.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A140,ChocoDream 70% Cocoa,D30,Snacks,Bar,AY,Dummy,Dummy,All Items
CocoaDelight Dark Caramel Almond_Case_6.5oz,CocoaDelight Dark Caramel Almond_Case_6.5oz,TRUE,,,TRUE,CocoaDelight Dark Caramel Almond_Case_6.5oz,CocoaDelight Dark Caramel Almond_Case_6.5oz,D30,Snacks,Case 6.5 oz,,Dummy,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,CocoaDelight Dark Caramel Almond_Case,en-US,,,CocoaDelight Dark Caramel Almond_Case,T-CocoaDelight Dark Caramel Almond_Case,CocoaDelight Dark Caramel Almond_Case,,0,0%,Caramel,0.7,0.7,870,870 cal,6.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,Dummy,All Items
CocoaDelight Double Dark Caramel_Case_6.5oz,CocoaDelight Double Dark Caramel_Case_6.5oz,TRUE,,,TRUE,CocoaDelight Double Dark Caramel_Case_6.5oz,CocoaDelight Double Dark Caramel_Case_6.5oz,D30,Snacks,Case 6.5 oz,,Dummy,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,CocoaDelight Double Dark Caramel_Case,en-US,,,CocoaDelight Double Dark Caramel_Case,CocoaDelight Double Dark Caramel_Case,CocoaDelight Double Dark Caramel_Case,,0,0%,Caramel,0.7,0.7,870,870 cal,6.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,Dummy,All Items
50-3-0000000001,RM_Best_SAUCE,,,,,50-3-0000000001,RM_Best_SAUCE,50-L4-001,Condiments,Dummy,Dummy,,50-L1-007,50-L1-007,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000001,en-US,,,RM_Best_SAUCE,50-3-0000000001,RM_Best_SAUCE,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-007,50-L1-007,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000002,LABEL_Best_SAUCE_255GM,,,,,50-3-0000000002,LABEL_Best_SAUCE_255GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-008,50-L1-008,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000002,en-US,,,LABEL_Best_SAUCE_255GM,50-3-0000000002,LABEL_Best_SAUCE_255GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-008,50-L1-008,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000003,LABEL_Best_SAUCE_TD_450GM,,,,,50-3-0000000003,LABEL_Best_SAUCE_TD_450GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-009,50-L1-009,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000003,en-US,,,LABEL_Best_SAUCE_TD_450GM,50-3-0000000003,LABEL_Best_SAUCE_TD_450GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-009,50-L1-009,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000004,LABEL_Best_SAUCE_425GM,,,,,50-3-0000000004,LABEL_Best_SAUCE_425GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-010,50-L1-010,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000004,en-US,,,LABEL_Best_SAUCE_425GM,50-3-0000000004,LABEL_Best_SAUCE_425GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-010,50-L1-010,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000005,LABEL_Best_SAUCE_285GM,,,,,50-3-0000000005,LABEL_Best_SAUCE_285GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-011,50-L1-011,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000005,en-US,,,LABEL_Best_SAUCE_285GM,50-3-0000000005,LABEL_Best_SAUCE_285GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-011,50-L1-011,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000006,LABEL_Best_SAUCE_RSS_TD_450GM,,,,,50-3-0000000006,LABEL_Best_SAUCE_RSS_TD_450GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-012,50-L1-012,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000006,en-US,,,LABEL_Best_SAUCE_RSS_TD_450GM,50-3-0000000006,LABEL_Best_SAUCE_RSS_TD_450GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-012,50-L1-012,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000007,LABEL_Best_SAUCE_600GM,,,,,50-3-0000000007,LABEL_Best_SAUCE_600GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-013,50-L1-013,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000007,en-US,,,LABEL_Best_SAUCE_600GM,50-3-0000000007,LABEL_Best_SAUCE_600GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-013,50-L1-013,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000008,PACK_Best_SAUCE_255GM,,,,,50-3-0000000008,PACK_Best_SAUCE_255GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-014,50-L1-014,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000008,en-US,,,PACK_Best_SAUCE_255GM,50-3-0000000008,PACK_Best_SAUCE_255GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-014,50-L1-014,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000009,PACK_Best_SAUCE_TD_450GM,,,,,50-3-0000000009,PACK_Best_SAUCE_TD_450GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-015,50-L1-015,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000009,en-US,,,PACK_Best_SAUCE_TD_450GM,50-3-0000000009,PACK_Best_SAUCE_TD_450GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-015,50-L1-015,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000010,PACK_Best_SAUCE_425GM,,,,,50-3-0000000010,PACK_Best_SAUCE_425GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-016,50-L1-016,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000010,en-US,,,PACK_Best_SAUCE_425GM,50-3-0000000010,PACK_Best_SAUCE_425GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-016,50-L1-016,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000011,PACK_Best_SAUCE_285GM,,,,,50-3-0000000011,PACK_Best_SAUCE_285GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-017,50-L1-017,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000011,en-US,,,PACK_Best_SAUCE_285GM,50-3-0000000011,PACK_Best_SAUCE_285GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-017,50-L1-017,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000012,PACK_Best_SAUCE_RSS_TD_450GM,,,,,50-3-0000000012,PACK_Best_SAUCE_RSS_TD_450GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-018,50-L1-018,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000012,en-US,,,PACK_Best_SAUCE_RSS_TD_450GM,50-3-0000000012,PACK_Best_SAUCE_RSS_TD_450GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-018,50-L1-018,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
50-3-0000000013,PACK_Best_SAUCE_600GM,,,,,50-3-0000000013,PACK_Best_SAUCE_600GM,50-L4-001,Condiments,Dummy,Dummy,,50-L1-019,50-L1-019,50-L2-001,Sauces,50-L3-001,Sauces,50-L4-001,Condiments,E20,Food,F10,FnB,50-3-0000000013,en-US,,,PACK_Best_SAUCE_600GM,50-3-0000000013,PACK_Best_SAUCE_600GM,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,50-L1-019,50-L1-019,50-L4-001,Condiments,Dummy,Dummy,Dummy,,Dummy
RM_Almond_Chocolate,Almond Chocolate,,,,,RM_Almond_Chocolate,Almond Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,Dummy,Dummy,,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,en-US,,,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,RM_Almond_Chocolate,Dummy,Dummy,Dummy,,Dummy
RM_Caramel_Chocolate,Caramel Chocolate,,,,,RM_Caramel_Chocolate,Caramel Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,Dummy,Dummy,,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,en-US,,,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,RM_Caramel_Chocolate,Dummy,Dummy,Dummy,,Dummy
RM_Sea_Salt_Chocolate,Sea Salt Chocolate,,,,,RM_Sea_Salt_Chocolate,Sea Salt Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,Dummy,Dummy,,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,en-US,,,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,RM_Sea_Salt_Chocolate,Dummy,Dummy,Dummy,,Dummy
RM_Plain_Chocolate,Plain Chocolate,,,,,RM_Plain_Chocolate,Plain Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,Dummy,Dummy,,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,en-US,,,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,RM_Plain_Chocolate,Dummy,Dummy,Dummy,,Dummy
Pack_Bar_3.5oz,Bar 3.5oz,,,,,Pack_Bar_3.5oz,Bar 3.5oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_Bar_3.5oz,en-US,,,Pack_Bar_3.5oz,Pack_Bar_3.5oz,Pack_Bar_3.5oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
Pack_Bar_6.5oz,Bar 6.5oz,,,,,Pack_Bar_6.5oz,Bar 6.5oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_Bar_6.5oz,en-US,,,Pack_Bar_6.5oz,Pack_Bar_6.5oz,Pack_Bar_6.5oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
Pack_Case_6.5oz,Case 6.5oz,,,,,Pack_Case_6.5oz,Case 6.5oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_Case_6.5oz,en-US,,,Pack_Case_6.5oz,Pack_Case_6.5oz,Pack_Case_6.5oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
Pack_Case_12oz,Case 12oz,,,,,Pack_Case_12oz,Case 12oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_Case_12oz,en-US,,,Pack_Case_12oz,Pack_Case_12oz,Pack_Case_12oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
Pack_HolidayPack_3.5oz,HolidayPack 3.5oz,,,,,Pack_HolidayPack_3.5oz,HolidayPack 3.5oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_HolidayPack_3.5oz,en-US,,,Pack_HolidayPack_3.5oz,Pack_HolidayPack_3.5oz,Pack_HolidayPack_3.5oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
Pack_HolidayPack_6.5oz,HolidayPack 6.5oz,,,,,Pack_HolidayPack_6.5oz,HolidayPack 6.5oz,Dummy,Dummy,Dummy,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Pack_HolidayPack_6.5oz,en-US,,,Pack_HolidayPack_6.5oz,Pack_HolidayPack_6.5oz,Pack_HolidayPack_6.5oz,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
A131_13_01,CocoaDelight Dark Caramel Coconut_Case_6.5oz,TRUE,,,TRUE,A131_13_01,CocoaDelight Dark Caramel Coconut_Case_6.5oz,D30,Snacks,Case 6.5 oz,,Dummy,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_13,en-US,,,CocoaDelight Dark Caramel Coconut_Case,A131_13,CocoaDelight Dark Caramel Coconut_Case,,0,0%,Caramel,0.7,0.7,870,870 cal,6.5 oz,New,,,,Dummy,,,,FinishedGoods,Dummy,All Items,Dummy,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,Dummy,All Items
